Id,Title,Time,Type,Duration,Img,CoverBg,movieDesc,Released,Genre,Casts,Country,Production,IMDB_rating
0,Killer Babes,2024,Movie,95m,https://img.moviesjoy.is/resize/188x288/7d/0c/7d0c00541c058fe76eebb0782de548a6/7d0c00541c058fe76eebb0782de548a6.jpg,https://img.moviesjoy.is/resize/1288x788/67/62/67625d31f93aa2bfc4910c99c362b9b4/67625d31f93aa2bfc4910c99c362b9b4.jpg,"Three girlfriends, neglected and mistreated by their husbands, plan to take revenge on them with the help of an experienced man in this type of job.",2024-12-12,"['comedy', 'crime', 'thriller']","['patricia-manterola', 'itati-cantoral', 'alicia-machado', 'monica-del-carmen', 'lucia-mendez']",mx,['corazon-filmes'],3.4
1,AMP House Massacre,2024,Movie,81m,https://img.moviesjoy.is/resize/188x288/52/ae/52ae721065a131c182ea05112e1339b0/52ae721065a131c182ea05112e1339b0.jpg,https://img.moviesjoy.is/resize/1288x788/7c/dd/7cdd67bcc0612c56604636658080f780/7cdd67bcc0612c56604636658080f780.jpg,A group of social media influencers sharing a mansion in the Hollywood Hills find themselves caught in a life and death game of survival as a killer reveals their deepest secrets before killing them off one by one.,2024-11-20,"['horror', 'thriller', 'crime']","['christopher-oneal', 'cassandra-scerbo', 'dallas-hart', 'isabella-genovese', 'kara-royster']",br,['wet-paws-media'],3.7
2,Spellbound,2024,Movie,109m,https://img.moviesjoy.is/resize/188x288/79/85/798578eb85218262f250a1328f11fa78/798578eb85218262f250a1328f11fa78.jpg,https://img.moviesjoy.is/resize/1288x788/85/6a/856aa153a2051718d8214cbd7ce554a1/856aa153a2051718d8214cbd7ce554a1.jpg,"The story of Ellian, a teenager who comes of age using her magical powers to defend her family when the opposing forces of light and darkness threaten to divide her kingdom.",2024-11-15,"['animation', 'adventure', 'comedy', 'family', 'fantasy']","['nicole-kidman', 'john-lithgow', 'jenifer-lewis', 'tituss-burgess', 'nathan-lane']",es,"['skydance-media', 'skydance-animation']",N/A
3,The Pastor,2024,Movie,88m,https://img.moviesjoy.is/resize/188x288/cf/98/cf98db6049fd31178a415817f2de796b/cf98db6049fd31178a415817f2de796b.jpg,https://img.moviesjoy.is/resize/1288x788/b4/09/b409568cdaad4b2d638e71c03fd1db99/b409568cdaad4b2d638e71c03fd1db99.jpg,"In an almost-forgotten part of town overrun by a ruthless gang infestation, a community is struggling with their faith and belief in God as they see their neighborhoods torn apart and their youth targeted for recruitment by the gangs. Even the local church struggles just to keep the lights on because of its barely-existent congregation's lack of enthusiasm. However, all this begins to change when a mysterious pastor arrives to lead the church. With his faith in hand and God by his side, Pastor Miguel sets out to inspire the community into action, empower the youth, and ultimately to re-ignite the community's faith in God.",2024-10-11,"['action', 'crime', 'drama']","['tc-stallings', 'abigail-duhon', 'yeniffer-behrens', 'kevin-sorbo', 'willow-hale']",us,"['destiny-entertainment-productions', 'action-faith-media']",N/A
4,Salsa Ni L,2024,Movie,60m,https://img.moviesjoy.is/resize/188x288/28/ef/28ef2d984e6e02bd3a9cd617a0d06bfb/28ef2d984e6e02bd3a9cd617a0d06bfb.jpg,https://img.moviesjoy.is/resize/1288x788/9d/44/9d44948eb58b698487244bf4a6bfb3ee/9d44948eb58b698487244bf4a6bfb3ee.jpg,"An alluring dance instructor chooses Rey, a rich businessman, over Lukas, her dance partner. But when Lukas feels something is off, he knows L is in grave danger.",2024-10-01,['drama'],"['christine-bermas', 'sean-de-guzman', 'jeffrey-hidalgo', 'jonica-lazo']",ph,['vivamax'],N/A
5,Bad Fish,2024,Movie,85m,https://img.moviesjoy.is/resize/188x288/14/1e/141e0669171ded5ede579b4f3fe21835/141e0669171ded5ede579b4f3fe21835.jpg,https://img.moviesjoy.is/resize/1288x788/5f/ce/5fced122ef779398e3b69247e2e7ade7/5fced122ef779398e3b69247e2e7ade7.jpg,"When a marine biologist investigates mysterious deadly attacks on fishermen in an Oregon coastal town, he discovers the culprit is a mermaid who must find a mate to breed with before returning to the sea.",2024-09-30,"['thriller', 'horror']","['marlyn-mason', 'ken-carpenter', 'abby-wathen', 'mark-schneider', 'jonny-lee']",us,['barbed-wire-films'],3.4
6,A Good Man 2,2024,Movie,112m,https://img.moviesjoy.is/resize/188x288/77/f4/77f4c1ec8bf85127c4e267cc9cf6759f/77f4c1ec8bf85127c4e267cc9cf6759f.jpg,https://img.moviesjoy.is/resize/1288x788/0f/71/0f71f7c43d51911b72e3ef30f740425e/0f71f7c43d51911b72e3ef30f740425e.jpg,"When Ethan Carter tries to leave the past behind, he finds himself back together with a toxic woman and pays the ultimate price.",2024-09-28,"['thriller', 'tv-movie']","['fancy-jones', 'kamal-smith', 'ebony-tates', 'chiquita-dunhamparker', 'tonja-brown']",us,['joe-smith-media'],5.2
7,Azrael,2024,Movie,85m,https://img.moviesjoy.is/resize/188x288/77/ac/77ac1f0fe308dda17bc81f57a83af41e/77ac1f0fe308dda17bc81f57a83af41e.jpg,https://img.moviesjoy.is/resize/1288x788/6d/0c/6d0cb297cbef5c81c85cf6a93a24ea28/6d0cb297cbef5c81c85cf6a93a24ea28.jpg,"In a world where no one speaks, a devout female hunts down a young woman who has escaped her imprisonment. Recaptured by its ruthless leaders, Azrael is due to be sacrificed to pacify an ancient evil deep within the surrounding wilderness.",2024-09-27,"['action', 'horror']","['eero-milonoff', 'rea-lest', 'peter-christoffersen', 'nathan-stewartjarrett', 'sebastian-bull-sarning']",ee,"['homeless-bob-production', 'traffic', 'traffic-productions']",6
8,Lore,2024,Movie,92m,https://img.moviesjoy.is/resize/188x288/b9/53/b9537600ad458e3e7f23fd9280d1587c/b9537600ad458e3e7f23fd9280d1587c.jpg,https://img.moviesjoy.is/resize/1288x788/98/17/9817e75f85c69a46d828a4d1d56c50f8/9817e75f85c69a46d828a4d1d56c50f8.jpg,"Four young thrill-seeking friends book a horror-themed camping excursion led by Darwin, a strange and eccentric guide, who one night encourages them to tell their scariest story around a fire. As they recount tales of sinister spirits and malevolent demons, the group soon realises that these stories will have very real consequences for them all.",2024-09-27,['horror'],"['andrewlee-potts', 'steven-blades', 'greig-johnson', 'miles-mitchell', 'alana-wallace']",gb,['sea-and-sky-pictures'],5
9,Divorce,2024,Movie,91m,https://img.moviesjoy.is/resize/188x288/f0/8c/f08c15df79f7d6974fc1f6767379f90b/f08c15df79f7d6974fc1f6767379f90b.jpg,https://img.moviesjoy.is/resize/1288x788/88/06/880646bcd64512ccfd0d8083aba1745e/880646bcd64512ccfd0d8083aba1745e.jpg,"Two decades after divorcing and taking separate paths in life, a former couple is working to obtain an official declaration of invalidity of their brief marriage.",2024-09-25,"['comedy', 'drama']","['dariusz-dobkowski', 'tomasz-schuchardt', 'michalina-labacz', 'magdalena-poplawska', 'wojciech-mecwaldowski']",pl,['gigant-films'],N/A
